GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Check,org.klojang.check,CommonExceptions,28,119,0,0,5,24,7,28,7,28
Klojang Check,org.klojang.check,Check,11,244,3,45,3,49,5,42,2,21
Klojang Check,org.klojang.check,CommonChecks,19,461,3,57,4,89,5,143,3,115
Klojang Check,org.klojang.check,CorruptCheckException,0,4,0,0,0,2,0,1,0,1
Klojang Check,org.klojang.check,IntCheck,0,760,0,44,0,136,0,82,0,60
Klojang Check,org.klojang.check,ObjectCheck,11,643,2,28,3,108,3,73,1,60
Klojang Check,org.klojang.check,ObjectCheckHelper2,4,837,1,65,1,181,1,55,0,23
Klojang Check,org.klojang.check,Tag,6,0,0,0,2,0,1,0,1,0
Klojang Check,org.klojang.check,IntCheckHelper1,0,538,0,44,0,114,0,38,0,16
Klojang Check,org.klojang.check,ObjectCheckHelper1,0,534,0,44,0,110,0,38,0,16
Klojang Check,org.klojang.check,CommonProperties,0,436,0,24,0,76,0,66,0,54
Klojang Check,org.klojang.check,IntCheckHelper2,34,534,3,41,5,123,3,35,0,16
Klojang Check,org.klojang.check.relation,Compose,6,93,0,6,2,13,1,27,1,24
Klojang Check,org.klojang.check.relation,ObjIntRelation,20,0,2,0,2,0,5,0,4,0
Klojang Check,org.klojang.check.relation,ComposableIntPredicate,1,605,5,129,0,41,5,131,0,69
Klojang Check,org.klojang.check.relation,Relation,8,12,0,2,1,1,2,3,2,2
Klojang Check,org.klojang.check.relation,Private,11,82,2,6,1,8,3,12,1,8
Klojang Check,org.klojang.check.relation,IntRelation,0,20,0,2,0,2,0,5,0,4
Klojang Check,org.klojang.check.relation,Quantifier,0,27,0,0,0,7,0,4,0,4
Klojang Check,org.klojang.check.relation,ComposablePredicate,13,540,7,115,1,37,8,116,2,61
Klojang Check,org.klojang.check.relation,IntObjRelation,8,12,0,2,1,1,2,3,2,2
Klojang Check,org.klojang.check.aux,Emptyable,7,0,2,0,1,0,2,0,1,0
Klojang Check,org.klojang.check.aux,Result,0,141,0,28,0,28,0,29,0,15
Klojang Check,org.klojang.check.aux,DuplicateValueException,0,65,0,0,0,18,0,8,0,8
Klojang Check,org.klojang.check.aux,DuplicateValueException.Usage,0,25,0,0,0,5,0,2,0,2
